,time,open,high,low,close,vwap,volume,count
0,1699653600,1.06794,1.06817,1.06764,1.06793,1.06789,339013.33770001,511
1,1699655400,1.06783,1.06806,1.06764,1.06779,1.06782,122983.25377099,558
2,1699657200,1.06779,1.06805,1.06771,1.06796,1.06789,124273.01720148,482
3,1699659000,1.06773,1.06811,1.06757,1.06771,1.06781,83462.93822599,451
4,1699660800,1.06771,1.06813,1.06769,1.06795,1.06789,68295.37305059,415
5,1699662600,1.06798,1.06819,1.06752,1.06806,1.06798,103021.66796852,447
6,1699664400,1.06796,1.06827,1.06786,1.06814,1.06806,178404.76407009,1140
7,1699666200,1.06800,1.06828,1.06762,1.06802,1.06798,104973.45846987,553
8,1699668000,1.06809,1.06830,1.06746,1.06790,1.06785,60901.39098993,330
9,1699669800,1.06790,1.06805,1.06749,1.06788,1.06788,71745.35748927,351
10,1699671600,1.06796,1.06816,1.06764,1.06791,1.06792,42771.77999534,239
11,1699673400,1.06791,1.06827,1.06776,1.06801,1.06798,51430.97652438,340
12,1699675200,1.06788,1.06814,1.06762,1.06782,1.06788,75947.91850108,492
13,1699677000,1.06792,1.06808,1.06736,1.06782,1.06778,122448.15663348,305
14,1699678800,1.06783,1.06808,1.06775,1.06788,1.06794,81907.80930315,134
15,1699680600,1.06784,1.06802,1.06751,1.06790,1.06781,72148.40002649,273
16,1699682400,1.06797,1.06800,1.06772,1.06782,1.06784,45200.77140017,195
17,1699684200,1.06775,1.06794,1.06767,1.06768,1.06774,38457.49944234,186
18,1699686000,1.06773,1.06793,1.06745,1.06760,1.06768,185485.63545944,394
19,1699687800,1.06768,1.06784,1.06720,1.06754,1.06747,141255.44676206,516
20,1699689600,1.06740,1.06816,1.06712,1.06738,1.06760,240980.48085193,429
21,1699691400,1.06763,1.06773,1.06722,1.06744,1.06743,119557.97355704,381
22,1699693200,1.06744,1.06784,1.06714,1.06715,1.06742,85553.20083179,394
23,1699695000,1.06738,1.06743,1.06697,1.06698,1.06709,38219.77120547,257
24,1699696800,1.06698,1.06712,1.06685,1.06707,1.06696,37853.45482798,268
25,1699698600,1.06690,1.06712,1.06685,1.06689,1.06703,62797.66267297,342
26,1699700400,1.06704,1.06712,1.06674,1.06689,1.06693,76687.65383231,441
27,1699702200,1.06706,1.06713,1.06683,1.06705,1.06702,84702.31975751,336
28,1699704000,1.06707,1.06712,1.06676,1.06689,1.06689,90344.83471739,508
29,1699705800,1.06689,1.06710,1.06658,1.06704,1.06689,339993.43299139,836
30,1699707600,1.06690,1.06712,1.06669,1.06697,1.06696,104311.25434463,453
31,1699709400,1.06700,1.06712,1.06662,1.06711,1.06698,286676.24709032,742
32,1699711200,1.06710,1.06712,1.06663,1.06669,1.06685,257746.24327796,916
33,1699713000,1.06677,1.06709,1.06650,1.06657,1.06675,165437.32108746,854
34,1699714800,1.06657,1.06696,1.06607,1.06653,1.06659,131421.01570549,1013
35,1699716600,1.06661,1.06699,1.06624,1.06689,1.06656,220082.08909365,901
36,1699718400,1.06682,1.06689,1.06604,1.06684,1.06663,135761.87018571,678
37,1699720200,1.06679,1.06708,1.06633,1.06686,1.06679,132587.58354277,699
38,1699722000,1.06704,1.06713,1.06621,1.06666,1.06676,315870.30724287,1079
39,1699723800,1.06665,1.06709,1.06655,1.06659,1.06677,141094.60650885,518
