,time,open,high,low,close,vwap,volume,count
29,1698462000,1.05653,1.05672,1.05635,1.05666,1.05660,106309.25281243,522
30,1698465600,1.05667,1.05672,1.05652,1.05665,1.05662,94659.86420947,525
31,1698469200,1.05666,1.05674,1.05645,1.05648,1.05662,126114.04478004,464
32,1698472800,1.05648,1.05657,1.05636,1.05639,1.05644,92958.50114629,514
33,1698476400,1.05639,1.05650,1.05625,1.05636,1.05640,37436.19655830,251
34,1698480000,1.05632,1.05640,1.05589,1.05589,1.05613,65014.64498140,252
35,1698483600,1.05588,1.05601,1.05575,1.05589,1.05588,76556.80809533,506
36,1698487200,1.05589,1.05601,1.05577,1.05592,1.05586,113809.36523346,495
37,1698490800,1.05592,1.05615,1.05581,1.05589,1.05596,118115.65942883,478
38,1698494400,1.05589,1.05604,1.05535,1.05587,1.05573,237118.44539830,547
39,1698498000,1.05580,1.05600,1.05550,1.05597,1.05575,136912.93196440,485
40,1698501600,1.05594,1.05601,1.05577,1.05578,1.05592,93055.52386266,467
41,1698505200,1.05585,1.05611,1.05567,1.05584,1.05592,211210.96356094,903
42,1698508800,1.05584,1.05608,1.05584,1.05597,1.05595,59560.04590456,341
43,1698512400,1.05597,1.05612,1.05588,1.05601,1.05601,88599.49602111,472
44,1698516000,1.05595,1.05603,1.05549,1.05584,1.05589,542911.48094418,1157
45,1698519600,1.05586,1.05597,1.05565,1.05578,1.05581,49244.71676553,279
46,1698523200,1.05577,1.05592,1.05573,1.05577,1.05580,22493.25328111,220
47,1698526800,1.05594,1.05602,1.05586,1.05594,1.05597,22282.02718109,281
48,1698530400,1.05600,1.05600,1.05586,1.05589,1.05593,43521.00281349,331
49,1698534000,1.05587,1.05596,1.05582,1.05594,1.05589,12800.65405434,130
50,1698537600,1.05594,1.05598,1.05578,1.05588,1.05593,25886.44591182,234
51,1698541200,1.05597,1.05601,1.05573,1.05599,1.05588,31627.64134042,314
52,1698544800,1.05598,1.05604,1.05589,1.05592,1.05597,23559.20931922,167
53,1698548400,1.05595,1.05609,1.05582,1.05607,1.05600,19611.23183863,178
54,1698552000,1.05607,1.05618,1.05592,1.05601,1.05607,83027.90631086,145
55,1698555600,1.05601,1.05625,1.05601,1.05609,1.05616,87738.46599806,304
56,1698559200,1.05615,1.05635,1.05597,1.05617,1.05613,109395.41087550,277
57,1698562800,1.05609,1.05626,1.05601,1.05625,1.05613,63504.49058691,291
58,1698566400,1.05614,1.05631,1.05606,1.05625,1.05618,79540.93173071,433
