,time,open,high,low,close,vwap,volume,count
0,1698357600,0.87087,0.87100,0.87040,0.87067,0.87066,19349.72529476,84
1,1698361200,0.87055,0.87066,0.87021,0.87024,0.87043,5026.95285608,52
2,1698364800,0.87018,0.87030,0.87006,0.87026,0.87017,12231.78647297,65
3,1698368400,0.87023,0.87030,0.86994,0.87018,0.87012,7346.73418925,59
4,1698372000,0.87030,0.87033,0.87008,0.87025,0.87020,10658.21905031,62
5,1698375600,0.87015,0.87045,0.87010,0.87041,0.87035,4428.83279752,28
6,1698379200,0.87044,0.87046,0.87033,0.87039,0.87038,12896.30639515,116
7,1698382800,0.87034,0.87060,0.87022,0.87056,0.87031,11245.17363740,73
8,1698386400,0.87058,0.87129,0.87057,0.87084,0.87098,32687.97691950,119
9,1698390000,0.87098,0.87156,0.87072,0.87115,0.87119,80010.90594096,189
10,1698393600,0.87120,0.87220,0.87087,0.87087,0.87184,71787.97118481,140
11,1698397200,0.87087,0.87096,0.86968,0.87044,0.87041,74739.79273751,143
12,1698400800,0.87017,0.87160,0.87017,0.87077,0.87124,71063.87459598,70
13,1698404400,0.87072,0.87072,0.87009,0.87029,0.87051,25573.28566020,55
14,1698408000,0.87033,0.87043,0.86940,0.86986,0.86973,209227.52428241,91
15,1698411600,0.86989,0.87116,0.86965,0.87095,0.87035,59912.31342818,151
16,1698415200,0.87100,0.87177,0.87080,0.87110,0.87125,43035.33112829,187
17,1698418800,0.87107,0.87211,0.87104,0.87183,0.87184,23484.33906056,144
18,1698422400,0.87176,0.87283,0.87176,0.87243,0.87224,22212.32090505,131
19,1698426000,0.87243,0.87277,0.87198,0.87249,0.87243,31001.13764538,181
20,1698429600,0.87237,0.87294,0.87208,0.87286,0.87255,43715.37389582,92
21,1698433200,0.87279,0.87292,0.87246,0.87258,0.87264,12510.40513721,94
22,1698436800,0.87243,0.87244,0.87185,0.87185,0.87216,19684.49467640,109
23,1698440400,0.87200,0.87214,0.87188,0.87203,0.87202,4282.08956536,29
24,1698444000,0.87213,0.87219,0.87206,0.87206,0.87212,16877.20507907,35
25,1698447600,0.87205,0.87214,0.87201,0.87206,0.87207,11356.75081554,60
26,1698451200,0.87215,0.87215,0.87196,0.87214,0.87205,4593.07947414,52
27,1698454800,0.87209,0.87210,0.87197,0.87206,0.87204,1667.60474028,25
28,1698458400,0.87204,0.87214,0.87196,0.87209,0.87207,1396.98581598,29
29,1698462000,0.87203,0.87208,0.87198,0.87208,0.87200,1777.64106840,25
30,1698465600,0.87199,0.87204,0.87193,0.87204,0.87197,4337.31463480,30
31,1698469200,0.87197,0.87204,0.87184,0.87184,0.87195,4713.64293800,41
32,1698472800,0.87187,0.87190,0.87172,0.87183,0.87182,2436.51656592,33
33,1698476400,0.87182,0.87185,0.87162,0.87169,0.87177,1353.54327452,14
