,time,open,high,low,close,vwap,volume,count
0,1699653600,0.87376,0.87391,0.87374,0.87381,0.87380,5814.27633588,35
1,1699655400,0.87389,0.87402,0.87386,0.87393,0.87392,3598.19085964,17
2,1699657200,0.87397,0.87412,0.87357,0.87386,0.87386,21770.74118489,98
3,1699659000,0.87376,0.87404,0.87374,0.87404,0.87380,767.89902452,9
4,1699660800,0.87403,0.87409,0.87318,0.87396,0.87366,64803.90984995,152
5,1699662600,0.87396,0.87439,0.87389,0.87402,0.87415,34914.38452988,93
6,1699664400,0.87394,0.87419,0.87389,0.87406,0.87412,16732.75591627,38
7,1699666200,0.87405,0.87416,0.87389,0.87405,0.87405,10390.94446908,42
8,1699668000,0.87408,0.87408,0.87398,0.87398,0.87405,5946.52981351,16
9,1699669800,0.87395,0.87407,0.87395,0.87401,0.87398,1041.66112501,6
10,1699671600,0.87406,0.87407,0.87399,0.87399,0.87399,8938.70110860,12
11,1699673400,0.87398,0.87409,0.87397,0.87404,0.87401,1188.30435547,8
12,1699675200,0.87397,0.87405,0.87392,0.87403,0.87398,3460.70763001,30
13,1699677000,0.87395,0.87400,0.87389,0.87400,0.87396,1397.21062977,12
14,1699678800,0.87398,0.87469,0.87386,0.87396,0.87428,100820.63420803,36
15,1699680600,0.87404,0.87411,0.87404,0.87404,0.87404,559.04147824,6
16,1699682400,0.87400,0.87402,0.87400,0.87402,0.87401,3779.69262417,2
17,1699684200,0.87399,0.87403,0.87397,0.87403,0.87398,1181.47260250,8
18,1699686000,0.87395,0.87403,0.87394,0.87399,0.87397,932.37938602,8
19,1699687800,0.87401,0.87402,0.87390,0.87392,0.87395,3614.53263690,16
20,1699689600,0.87387,0.87396,0.87387,0.87389,0.87393,1519.48365207,22
21,1699691400,0.87399,0.87402,0.87391,0.87391,0.87399,2488.55636526,12
22,1699693200,0.87396,0.87402,0.87376,0.87385,0.87390,7764.21775114,35
23,1699695000,0.87375,0.87383,0.87355,0.87377,0.87370,4041.65450306,24
24,1699696800,0.87370,0.87386,0.87362,0.87369,0.87373,8511.98423882,23
25,1699698600,0.87363,0.87382,0.87363,0.87371,0.87375,791.56763887,16
26,1699700400,0.87372,0.87373,0.87362,0.87373,0.87366,1500.88851036,19
27,1699702200,0.87371,0.87382,0.87368,0.87378,0.87378,5662.57175167,26
28,1699704000,0.87374,0.87395,0.87371,0.87386,0.87386,4258.76305395,23
29,1699705800,0.87376,0.87383,0.87374,0.87374,0.87374,18516.57123670,48
30,1699707600,0.87381,0.87401,0.87376,0.87382,0.87385,10006.78491626,43
31,1699709400,0.87381,0.87396,0.87374,0.87383,0.87382,21212.87999089,97
32,1699711200,0.87387,0.87397,0.87374,0.87392,0.87387,6099.48032687,51
33,1699713000,0.87385,0.87395,0.87374,0.87382,0.87382,8842.72969829,61
34,1699714800,0.87381,0.87401,0.87381,0.87390,0.87388,5017.59113246,32
35,1699716600,0.87381,0.87406,0.87381,0.87405,0.87392,4302.46687826,38
36,1699718400,0.87402,0.87412,0.87396,0.87411,0.87405,9721.71767220,70
37,1699720200,0.87405,0.87429,0.87401,0.87420,0.87413,18947.47389917,79
38,1699722000,0.87410,0.87436,0.87392,0.87427,0.87415,11438.91994045,68
39,1699723800,0.87425,0.87441,0.87419,0.87423,0.87428,20469.45210882,47
40,1699725600,0.87435,0.87441,0.87425,0.87435,0.87437,7040.12200765,27
41,1699727400,0.87429,0.87435,0.87423,0.87425,0.87425,2975.12335661,30
42,1699729200,0.87425,0.87437,0.87422,0.87432,0.87426,2478.75058276,30
43,1699731000,0.87438,0.87447,0.87396,0.87425,0.87431,10107.48524986,42
44,1699732800,0.87429,0.87450,0.87425,0.87443,0.87438,9754.57250237,82
45,1699734600,0.87440,0.87449,0.87430,0.87430,0.87438,5799.18247989,52
46,1699736400,0.87431,0.87456,0.87410,0.87439,0.87434,18001.08155204,89
47,1699738200,0.87439,0.87455,0.87438,0.87444,0.87446,3511.99880794,32
48,1699740000,0.87444,0.87462,0.87410,0.87453,0.87435,16014.77389942,87
49,1699741800,0.87452,0.87459,0.87442,0.87450,0.87451,4815.53968084,31
50,1699743600,0.87445,0.87456,0.87420,0.87454,0.87433,21615.87418932,67
51,1699745400,0.87446,0.87460,0.87442,0.87458,0.87449,3908.20932111,30
52,1699747200,0.87450,0.87466,0.87444,0.87448,0.87455,10169.77341242,51
53,1699749000,0.87450,0.87461,0.87433,0.87454,0.87453,20093.15048034,83
54,1699750800,0.87460,0.87466,0.87435,0.87441,0.87458,884.05124255,10
55,1699752600,0.87436,0.87449,0.87436,0.87441,0.87442,6631.20861943,32
56,1699754400,0.87441,0.87445,0.87440,0.87440,0.87442,2002.90264657,23
57,1699756200,0.87440,0.87450,0.87437,0.87450,0.87440,1357.73583347,9
58,1699758000,0.87444,0.87450,0.87442,0.87450,0.87442,1007.89000000,5
59,1699759800,0.87449,0.87451,0.87449,0.87450,0.87449,326.16987051,3
60,1699761600,0.87452,0.87499,0.87452,0.87499,0.87482,1828.81410057,21
61,1699763400,0.87488,0.87500,0.87488,0.87492,0.87494,612.13717918,12
62,1699765200,0.87490,0.87502,0.87490,0.87498,0.87496,596.05187871,14
63,1699767000,0.87494,0.87505,0.87494,0.87496,0.87500,977.17515351,14
64,1699768800,0.87496,0.87502,0.87493,0.87493,0.87498,1572.27902644,25
65,1699770600,0.87492,0.87511,0.87488,0.87498,0.87497,5205.09812781,35
66,1699772400,0.87496,0.87511,0.87465,0.87465,0.87491,6788.02182784,48
67,1699774200,0.87481,0.87492,0.87474,0.87480,0.87482,4064.01598526,38
68,1699776000,0.87480,0.87487,0.87473,0.87475,0.87480,4838.45729013,24
69,1699777800,0.87477,0.87489,0.87474,0.87476,0.87479,8222.92561743,32
70,1699779600,0.87484,0.87493,0.87451,0.87493,0.87473,14372.46253397,40
71,1699781400,0.87493,0.87499,0.87478,0.87492,0.87484,13056.03755177,55
72,1699783200,0.87486,0.87513,0.87483,0.87493,0.87499,14727.48687286,73
73,1699785000,0.87494,0.87516,0.87462,0.87507,0.87475,27989.34663733,101
74,1699786800,0.87508,0.87542,0.87487,0.87494,0.87511,7616.88774734,41
75,1699788600,0.87501,0.87507,0.87475,0.87494,0.87487,19589.34977189,47
76,1699790400,0.87495,0.87530,0.87495,0.87507,0.87524,20008.16472650,56
77,1699792200,0.87508,0.87520,0.87472,0.87515,0.87508,15585.80695405,42
78,1699794000,0.87515,0.87538,0.87515,0.87534,0.87528,13527.81278720,47
79,1699795800,0.87529,0.87533,0.87521,0.87528,0.87525,2203.54910655,30
80,1699797600,0.87524,0.87541,0.87521,0.87536,0.87532,26073.78814248,39
81,1699799400,0.87540,0.87541,0.87507,0.87536,0.87535,23786.48918992,81
82,1699801200,0.87539,0.87551,0.87529,0.87545,0.87542,39705.34251828,48
83,1699803000,0.87546,0.87552,0.87543,0.87551,0.87548,3113.33248465,34
84,1699804800,0.87554,0.87560,0.87521,0.87559,0.87549,46053.23381140,50
85,1699806600,0.87553,0.87561,0.87549,0.87554,0.87554,6839.66917184,27
