,time,open,high,low,close,vwap,volume,count
0,1700733300,1.09191,1.09230,1.09160,1.09213,1.09211,52687.96392904,49
1,1700733600,1.09215,1.09215,1.09168,1.09191,1.09176,5541.79391468,15
2,1700733900,1.09182,1.09192,1.09170,1.09171,1.09184,2154.92190947,12
3,1700734200,1.09174,1.09174,1.09152,1.09169,1.09171,412.62125025,9
4,1700734500,1.09172,1.09189,1.09144,1.09144,1.09177,25151.43314299,34
5,1700734800,1.09139,1.09150,1.09129,1.09139,1.09142,4519.77275561,22
6,1700735100,1.09143,1.09149,1.09130,1.09148,1.09142,9083.74072779,37
7,1700735400,1.09142,1.09159,1.09142,1.09159,1.09146,22989.69802192,11
8,1700735700,1.09154,1.09199,1.09149,1.09186,1.09168,50566.50529032,48
9,1700736000,1.09176,1.09208,1.09166,1.09178,1.09183,51933.24916660,66
10,1700736300,1.09175,1.09181,1.09160,1.09169,1.09172,24153.10853179,36
11,1700736600,1.09169,1.09182,1.09145,1.09158,1.09167,199273.71516047,187
12,1700736900,1.09160,1.09188,1.09139,1.09157,1.09155,149861.60402632,101
13,1700737200,1.09157,1.09175,1.09143,1.09167,1.09158,10251.05504212,25
14,1700737500,1.09151,1.09176,1.09151,1.09157,1.09159,5710.39929221,15
15,1700737800,1.09156,1.09156,1.09123,1.09123,1.09138,8209.86502344,24
16,1700738100,1.09134,1.09151,1.09130,1.09148,1.09138,2588.43628198,50
17,1700738400,1.09135,1.09149,1.09123,1.09141,1.09138,10417.44046212,22
18,1700738700,1.09160,1.09167,1.09152,1.09167,1.09156,2161.93644580,8
19,1700739000,1.09167,1.09167,1.09145,1.09149,1.09166,18984.56003672,12
20,1700739300,1.09151,1.09151,1.09127,1.09149,1.09144,8644.15264922,18
21,1700739600,1.09139,1.09139,1.09103,1.09118,1.09125,2741.11907327,19
22,1700739900,1.09106,1.09118,1.09090,1.09111,1.09097,4156.63075519,20
23,1700740200,1.09111,1.09132,1.09081,1.09106,1.09088,59241.68738605,41
24,1700740500,1.09119,1.09137,1.09115,1.09116,1.09122,2787.24520620,33
25,1700740800,1.09116,1.09138,1.09102,1.09102,1.09126,23562.62777247,45
26,1700741100,1.09102,1.09102,1.09052,1.09074,1.09079,59176.35905862,101
27,1700741400,1.09077,1.09077,1.09023,1.09032,1.09039,56286.36744304,155
28,1700741700,1.09039,1.09065,1.09039,1.09051,1.09053,14631.30715270,94
29,1700742000,1.09053,1.09062,1.09005,1.09010,1.09029,14389.36143111,57
30,1700742300,1.09017,1.09058,1.09010,1.09027,1.09037,48669.99997452,107
31,1700742600,1.09026,1.09049,1.08980,1.08984,1.09032,63863.28531652,137
32,1700742900,1.09006,1.09018,1.08979,1.08986,1.08987,18284.86287702,66
33,1700743200,1.08985,1.09002,1.08958,1.09001,1.08970,90079.96939113,61
34,1700743500,1.09001,1.09002,1.08953,1.08953,1.08972,125886.68718435,134
35,1700743800,1.08975,1.09014,1.08975,1.09010,1.08994,15902.40075297,64
36,1700744100,1.09009,1.09010,1.08979,1.08990,1.08997,75403.44293662,81
37,1700744400,1.08986,1.08993,1.08941,1.08958,1.08966,25590.00105466,173
38,1700744700,1.08947,1.08982,1.08945,1.08955,1.08954,52547.77636528,119
39,1700745000,1.08950,1.08975,1.08915,1.08961,1.08941,56852.94442546,54
40,1700745300,1.08973,1.08993,1.08943,1.08993,1.08964,18642.28413553,79
41,1700745600,1.08987,1.08990,1.08966,1.08978,1.08973,18789.75176219,39
42,1700745900,1.08975,1.08986,1.08966,1.08970,1.08971,69579.49326896,51
43,1700746200,1.08971,1.08985,1.08933,1.08972,1.08968,686887.81900455,137
44,1700746500,1.08977,1.08992,1.08976,1.08976,1.08982,302134.95477499,88
45,1700746800,1.08981,1.09005,1.08962,1.08984,1.08982,36795.54191786,150
46,1700747100,1.08963,1.09038,1.08922,1.08938,1.08971,1597139.22074149,435
47,1700747400,1.08932,1.08970,1.08905,1.08922,1.08928,346904.77650410,86
48,1700747700,1.08915,1.08949,1.08904,1.08922,1.08909,941747.80629361,83
49,1700748000,1.08910,1.08957,1.08897,1.08897,1.08930,403905.03683481,81
50,1700748300,1.08889,1.08960,1.08888,1.08905,1.08948,448291.83168173,123
51,1700748600,1.08904,1.08996,1.08891,1.08891,1.08951,232661.81270526,74
52,1700748900,1.08893,1.08897,1.08870,1.08893,1.08886,79781.87354989,135
53,1700749200,1.08895,1.08896,1.08833,1.08837,1.08862,36344.45569587,80
54,1700749500,1.08844,1.08874,1.08819,1.08866,1.08839,37157.86684722,70
55,1700749800,1.08870,1.08923,1.08870,1.08912,1.08895,53487.62102213,62
56,1700750100,1.08912,1.08930,1.08904,1.08915,1.08922,14098.16100010,47
57,1700750400,1.08916,1.08926,1.08904,1.08918,1.08916,16551.21421550,84
58,1700750700,1.08916,1.08940,1.08907,1.08936,1.08927,13583.81811453,42
59,1700751000,1.08936,1.08948,1.08888,1.08889,1.08907,8515.83220025,54
60,1700751300,1.08892,1.08911,1.08882,1.08894,1.08896,7928.93032206,48
61,1700751600,1.08911,1.08944,1.08903,1.08944,1.08914,6133.91206612,86
62,1700751900,1.08944,1.08956,1.08929,1.08947,1.08937,14562.76195090,90
63,1700752200,1.08957,1.08973,1.08908,1.08947,1.08927,67342.11260920,91
64,1700752500,1.08946,1.08992,1.08946,1.08970,1.08969,21719.57136231,102
65,1700752800,1.08971,1.09083,1.08966,1.09018,1.09013,38504.02998105,191
66,1700753100,1.09014,1.09033,1.08955,1.08977,1.08989,77895.02472199,175
67,1700753400,1.08997,1.09033,1.08965,1.08969,1.08986,26096.95537920,143
68,1700753700,1.09001,1.09021,1.08939,1.08945,1.08967,58422.47889520,117
69,1700754000,1.08953,1.09001,1.08929,1.08973,1.08963,15049.24127183,53
70,1700754300,1.08994,1.09001,1.08927,1.09001,1.08961,22749.09537092,45
71,1700754600,1.08981,1.09036,1.08970,1.09036,1.09016,4008.86598286,17
72,1700754900,1.09016,1.09031,1.08997,1.09008,1.09011,5778.10363717,14
73,1700755200,1.09025,1.09033,1.08997,1.09013,1.09023,4904.05719438,9
74,1700755500,1.09000,1.09009,1.08984,1.08986,1.08988,5292.06544325,13
75,1700755800,1.08984,1.08992,1.08978,1.08978,1.08985,5991.27164265,22
76,1700756100,1.08993,1.08993,1.08964,1.08989,1.08981,5974.20392413,41
77,1700756400,1.08970,1.08998,1.08945,1.08965,1.08966,28447.13482778,118
78,1700756700,1.08982,1.08994,1.08956,1.08956,1.08976,10656.84028005,46
79,1700757000,1.08986,1.08986,1.08959,1.08960,1.08974,5939.80339685,44
80,1700757300,1.08983,1.08983,1.08966,1.08970,1.08975,2646.70868480,32
81,1700757600,1.08970,1.08982,1.08970,1.08970,1.08971,20720.06395539,70
82,1700757900,1.08970,1.08980,1.08933,1.08980,1.08959,11015.21125273,55
83,1700758200,1.08972,1.08995,1.08940,1.08982,1.08970,15566.50147591,71
84,1700758500,1.08963,1.08988,1.08936,1.08974,1.08962,16390.75325764,93
85,1700758800,1.08965,1.08981,1.08930,1.08964,1.08959,11869.52395616,86
86,1700759100,1.08974,1.08986,1.08942,1.08954,1.08960,32782.54785310,102
87,1700759400,1.08954,1.08999,1.08954,1.08997,1.08977,14667.06889210,53
88,1700759700,1.08980,1.08997,1.08943,1.08972,1.08964,7868.62476522,53
89,1700760000,1.08971,1.09007,1.08971,1.08984,1.08992,10446.00897026,83
90,1700760300,1.08979,1.09005,1.08959,1.08974,1.08973,6020.50607704,45
91,1700760600,1.08982,1.09000,1.08968,1.08971,1.08986,14971.39975390,63
92,1700760900,1.08986,1.08991,1.08951,1.08984,1.08966,11991.04693940,58
93,1700761200,1.08965,1.08991,1.08955,1.08986,1.08976,11402.28352775,75
94,1700761500,1.08960,1.08994,1.08943,1.08983,1.08974,21309.36997188,77
95,1700761800,1.08983,1.08993,1.08967,1.08974,1.08985,5039.62953903,47
96,1700762100,1.08992,1.08995,1.08974,1.08995,1.08985,3631.41636774,24
97,1700762400,1.09005,1.09007,1.08994,1.09005,1.09000,3516.02553559,34
98,1700762700,1.09004,1.09012,1.08986,1.09004,1.09002,29320.10740828,115
99,1700763000,1.09006,1.09013,1.08988,1.08998,1.08999,13905.25369470,59
