,time,open,high,low,close,vwap,volume,count
0,1699653600,1.22191,1.22259,1.22164,1.22179,1.22216,90926.23859891,181
1,1699655400,1.22179,1.22205,1.22161,1.22192,1.22179,30146.55047223,127
2,1699657200,1.22187,1.22252,1.22149,1.22189,1.22188,72698.46211105,258
3,1699659000,1.22194,1.22205,1.22151,1.22163,1.22177,32170.32730304,143
4,1699660800,1.22160,1.22356,1.22128,1.22196,1.22234,180061.83493700,306
5,1699662600,1.22199,1.22214,1.22185,1.22207,1.22199,9373.47057259,54
6,1699664400,1.22207,1.22244,1.22181,1.22200,1.22208,16131.62319133,93
7,1699666200,1.22189,1.22207,1.22174,1.22174,1.22188,7467.09570058,80
8,1699668000,1.22181,1.22205,1.22171,1.22171,1.22184,9548.53876560,64
9,1699669800,1.22173,1.22191,1.22170,1.22181,1.22183,3128.46644244,52
10,1699671600,1.22194,1.22194,1.22176,1.22184,1.22183,3112.15522171,35
11,1699673400,1.22184,1.22200,1.22176,1.22200,1.22191,4166.36423956,28
12,1699675200,1.22200,1.22222,1.22178,1.22184,1.22190,10872.50682676,54
13,1699677000,1.22199,1.22200,1.22181,1.22182,1.22189,4180.64025495,29
14,1699678800,1.22181,1.22209,1.22181,1.22182,1.22189,7477.36698199,41
15,1699680600,1.22185,1.22220,1.22172,1.22172,1.22186,32331.61610388,71
16,1699682400,1.22184,1.22185,1.22167,1.22179,1.22171,1218.54986492,16
17,1699684200,1.22164,1.22178,1.22161,1.22169,1.22171,5413.54633698,41
18,1699686000,1.22158,1.22169,1.22145,1.22145,1.22155,2523.16555275,31
19,1699687800,1.22148,1.22163,1.22129,1.22137,1.22151,11769.28585265,67
20,1699689600,1.22145,1.22218,1.22131,1.22133,1.22169,39677.58225344,110
21,1699691400,1.22135,1.22166,1.22130,1.22130,1.22147,6170.06205112,66
22,1699693200,1.22130,1.22151,1.22110,1.22122,1.22123,11837.93320699,86
23,1699695000,1.22123,1.22137,1.22115,1.22126,1.22124,4465.99862730,51
24,1699696800,1.22115,1.22128,1.22104,1.22123,1.22118,38366.26703618,95
25,1699698600,1.22123,1.22130,1.22107,1.22110,1.22123,14244.21341749,86
26,1699700400,1.22107,1.22116,1.22101,1.22102,1.22110,4380.34161502,40
27,1699702200,1.22102,1.22130,1.22090,1.22120,1.22118,25929.12688041,92
28,1699704000,1.22102,1.22130,1.22084,1.22109,1.22100,20705.53961067,114
29,1699705800,1.22109,1.22114,1.22065,1.22065,1.22089,30933.60389644,118
30,1699707600,1.22081,1.22102,1.22044,1.22083,1.22074,40071.66843958,135
31,1699709400,1.22094,1.22103,1.22046,1.22099,1.22082,26067.12275098,80
32,1699711200,1.22087,1.22109,1.22018,1.22077,1.22069,41588.23062761,192
33,1699713000,1.22080,1.22099,1.22027,1.22060,1.22072,24889.81597377,179
34,1699714800,1.22066,1.22087,1.22023,1.22043,1.22055,23738.56826614,125
35,1699716600,1.22040,1.22056,1.22030,1.22031,1.22041,8683.34921613,132
36,1699718400,1.22048,1.22057,1.21996,1.22027,1.22027,43065.70100807,149
37,1699720200,1.22027,1.22076,1.22010,1.22035,1.22047,21969.31458119,134
38,1699722000,1.22045,1.22046,1.21977,1.22020,1.22014,35703.33460045,192
39,1699723800,1.22020,1.22031,1.22003,1.22009,1.22013,40336.94265221,110
40,1699725600,1.22016,1.22017,1.21974,1.21974,1.22000,11310.56577150,88
41,1699727400,1.22005,1.22014,1.21953,1.21994,1.21987,39802.74928646,110
42,1699729200,1.22010,1.22079,1.21966,1.22006,1.22018,82052.01802328,201
43,1699731000,1.22004,1.22039,1.21959,1.21981,1.22013,60457.73264313,156
44,1699732800,1.21998,1.21998,1.21916,1.21973,1.21966,94042.42181209,259
45,1699734600,1.21989,1.22033,1.21964,1.21983,1.21998,30433.31489627,129
46,1699736400,1.21981,1.22017,1.21966,1.21975,1.21979,19557.20322130,86
47,1699738200,1.21970,1.21999,1.21960,1.21960,1.21975,10504.19441372,72
48,1699740000,1.21972,1.21990,1.21933,1.21957,1.21960,90158.13377123,149
49,1699741800,1.21955,1.21964,1.21935,1.21957,1.21954,8095.16679950,67
50,1699743600,1.21950,1.21978,1.21934,1.21956,1.21959,8000.04694391,79
51,1699745400,1.21957,1.21980,1.21930,1.21953,1.21950,24944.25141986,102
52,1699747200,1.21947,1.21966,1.21924,1.21951,1.21948,21309.61507946,141
53,1699749000,1.21949,1.22000,1.21939,1.21965,1.21973,41291.68217199,161
54,1699750800,1.21965,1.22001,1.21948,1.21960,1.21970,14733.63737806,94
55,1699752600,1.21964,1.21981,1.21930,1.21970,1.21952,14934.12861383,71
56,1699754400,1.21970,1.21986,1.21952,1.21971,1.21975,8136.11330499,48
57,1699756200,1.21984,1.22003,1.21973,1.21977,1.21997,44255.28802524,34
58,1699758000,1.21980,1.21990,1.21972,1.21972,1.21981,6265.45302596,26
59,1699759800,1.21972,1.22002,1.21939,1.21983,1.21979,11010.03317018,24
60,1699761600,1.21980,1.21997,1.21945,1.21978,1.21970,8705.97204498,37
61,1699763400,1.21978,1.21990,1.21967,1.21989,1.21978,3834.51297014,31
62,1699765200,1.21990,1.21990,1.21978,1.21989,1.21986,328.19810198,12
63,1699767000,1.21990,1.22003,1.21961,1.21977,1.21980,10350.67946744,51
